Age,primaryStreamingService,hoursPerDay,whileWorking,favGenre,Anxiety,Depression,Insomnia,OCD,musicEffects
37,Spotify,4,Yes,Rock,9,2,7,7,Improve
31,Spotify,2,Yes,Metal,8,6,7,5,Improve
29,Spotify,2,Yes,Folk,6,5,4,2,Improve
20,Spotify,3,Yes,Rock,8,5,2,3,Improve
36,I do not use a streaming service.,8,Yes,Video game music,7,6,6,1,noEffect
18,Spotify,3,Yes,Rock,10,2,0,0,Improve
18,Spotify,2,Yes,K pop,6,0,0,0,Improve
25,Spotify,7,Yes,Pop,2,0,1,0,Improve
18,YouTube Music,12,Yes,K pop,3,7,5,2,Improve
31,YouTube Music,9,Yes,Pop,9,0,2,0,Improve
17,Spotify,2,Yes,Pop,5,4,1,1,Improve
21,Spotify,1,Yes,Folk,8,4,0,1,Improve
30,Other streaming service,1,No,Country,8,10,2,0,Improve
40,Apple Music,2,Yes,Metal,3,6,2,1,noEffect
64,I do not use a streaming service.,4,Yes,Rock,4,4,2,1,Improve
14,Spotify,2,Yes,Rock,7,5,2,6,Improve
26,YouTube Music,6,Yes,Rock,3,2,0,0,noEffect
35,Spotify,4,Yes,Country,9,9,5,1,Improve
33,Other streaming service,1,No,Rock,3,10,4,1,noEffect
30,Spotify,6,Yes,Folk,9,0,5,0,noEffect
31,Spotify,2,No,Metal,7,6,6,5,Improve
27,Spotify,5,Yes,Folk,0,9,4,0,Improve
53,I do not use a streaming service.,1.5,No,Pop,2,2,2,1,noEffect
23,Spotify,5,Yes,Metal,6,9,2,1,Improve
25,Spotify,2,Yes,EDM,6,4,1,0,Improve
16,Apple Music,4,Yes,K pop,8,9,4,0,Improve
18,Spotify,2,Yes,Rock,6,7,4,3,Improve
29,Spotify,5,Yes,Classical,7,2,2,0,Improve
31,YouTube Music,6,Yes,EDM,8,6,5,6,noEffect
31,Spotify,1,No,Rock,3,10,0,0,Worsen
38,Spotify,6,Yes,Pop,9,4,9,7,Improve
17,Spotify,4,No,Classical,7,9,2,8,Worsen
25,Apple Music,2,No,EDM,10,3,1,4,Improve
20,Spotify,2,No,Metal,0,0,0,1,noEffect
15,Spotify,2,Yes,EDM,9,6,1,7,noEffect
16,Spotify,4,Yes,Lofi,7,1,3,5,Improve
20,Spotify,2,Yes,EDM,9,7,5,7,Improve
23,Other streaming service,6,Yes,Rap,3,1,2,7,Improve
22,Spotify,3,Yes,Hip hop,6,6,8,0,Improve
15,I do not use a streaming service.,5,Yes,Rock,10,6,0,4,Improve
17,I do not use a streaming service.,0.5,Yes,Video game music,6,3,1,1,Improve
22,YouTube Music,1,Yes,Video game music,3,3,0,7,noEffect
21,Spotify,10,Yes,Metal,9,10,2,2,noEffect
19,Spotify,2,Yes,Pop,7,5,0,2,noEffect
32,Apple Music,0.5,No,Classical,3,0,4,4,noEffect
34,YouTube Music,1,No,Rock,9,9,6,4,Improve
18,I do not use a streaming service.,2,Yes,Metal,5,7,7,2,Improve
21,Spotify,3,Yes,Country,0,8,0,5,Improve
20,Spotify,3,No,Country,8,4,3,4,Improve
19,Spotify,2,Yes,Country,7,2,0,7,noEffect
25,I do not use a streaming service.,1,No,Pop,9,9,6,9,noEffect
31,Spotify,8,Yes,Classical,5,7,5,4,Improve
21,Spotify,1,Yes,Pop,5,1,0,0,Improve
31,YouTube Music,1,No,Folk,4,1,3,0,Improve
20,YouTube Music,1,No,Pop,3,5,3,0,Improve
19,Spotify,5,Yes,Rock,2,2,0,6,Improve
19,Other streaming service,5,Yes,EDM,0,1,3,5,Improve
23,Spotify,4,Yes,Metal,7,8,6,2,Improve
24,I do not use a streaming service.,8,Yes,Video game music,6,4,8,8,Improve
20,Other streaming service,0.7,No,Rock,5,6,8,2,Improve
15,Spotify,3,No,Video game music,6,6,2,6,noEffect
17,Spotify,7,Yes,Hip hop,8,9,3,4,Improve
20,I do not use a streaming service.,1.5,No,Video game music,8,4,3,3,Worsen
14,Spotify,4,Yes,Video game music,8,6,5,7,Improve
24,Spotify,4,Yes,Metal,8,8,7,7,Improve
14,Other streaming service,10,Yes,Video game music,5,2,5,0,Improve
23,Spotify,2,Yes,Rock,6,8,4,2,noEffect
28,Apple Music,2,Yes,Rock,7,5,2,1,noEffect
22,Spotify,6,Yes,Jazz,8,8,7,1,Improve
25,Spotify,0.5,Yes,Rock,10,2,0,0,Improve
27,Spotify,2,Yes,Pop,8,7,7,5,Improve
18,Spotify,5,Yes,Rock,8,8,8,6,Improve
17,Apple Music,3,Yes,Pop,8,10,9,2,Improve
23,Other streaming service,4.5,Yes,Rock,6,1,8,4,noEffect
40,Other streaming service,3,Yes,Rock,0,4,4,0,Improve
27,Spotify,20,Yes,Rock,8,10,10,8,noEffect
18,Spotify,1,No,Pop,3,2,0,1,noEffect
16,Spotify,2.5,No,Metal,5,3,3,1,Improve
18,Spotify,1,No,Rock,8,9,6,1,Improve
23,Spotify,2,No,Jazz,10,3,0,10,noEffect
15,I do not use a streaming service.,5,Yes,Metal,6,7,8,2,Improve
20,Apple Music,3,Yes,Metal,7,4,7,0,Improve
16,Spotify,3,Yes,Rock,9,8,6,2,Improve
16,Spotify,0.5,No,Rock,8,0,0,0,Improve
20,Apple Music,8,Yes,Country,8,9,2,5,noEffect
33,Spotify,2,Yes,Metal,7,2,3,0,Improve
22,Spotify,3,Yes,Rock,10,10,4,0,Improve
21,Spotify,3,Yes,Hip hop,8,8,3,3,Improve
21,Apple Music,5,Yes,Metal,8,7,7,4,Improve
29,Apple Music,1.5,Yes,Rock,8,7,1,2,Improve
56,I do not use a streaming service.,1,Yes,Pop,6,5,10,2,noEffect
17,Spotify,2,Yes,Pop,7,6,0,4,Improve
22,Spotify,1,Yes,Pop,7,4,0,0,Improve
26,Spotify,4,Yes,Pop,8,7,2,10,noEffect
30,Spotify,1,Yes,EDM,4,4,4,0,Improve
49,Spotify,2,Yes,Folk,0,0,2,0,noEffect
22,Spotify,2,Yes,EDM,6,4,0,1,Improve
32,Spotify,2,No,Rock,4,7,0,0,Improve
32,I do not use a streaming service.,1,No,Rock,8,4,3,0,noEffect
22,YouTube Music,6,Yes,Country,5,5,3,3,Improve
17,Spotify,2,Yes,Rock,0,8,0,0,Improve
21,Spotify,4,Yes,Rock,7,4,6,1,Improve
